Portfolio,,,R²,Adjusted R²,F-statistic,F-statistic p-value,Alpha (Intercept),Average Excess Return,Std. Dev. of Residuals,Error Variance (MSE),Breusch–Pagan p-value,VIFs
AI (fullAIreturns),Portfolio V,8 factors,0.5594,0.5545,114.1127,0,-3.9451,-2.3402,2.1694,4.7586,0.1765,"1.0707, 1.0569, 1.5418, 6.4786, 5.2218, 3.1298, 2.9298, 4.4603"
,,5 factors,0.4394,0.4355,113.1803,0,-3.5917,-2.3402,2.4471,6.0296,0.1811,"X1:1.0593, X2:1.0529, X3:1.402, X4:5.6715, X5:5.1465"
,,5 factors + IPORM,0.4526,0.4481,99.366,0,-3.6905,-2.3402,2.418,5.8955,0.109,"[1.0689, 1.0549, 1.4327, 6.2094, 5.2017, 1.4151]"
,,5 factors + NPFM,0.5204,0.5164,130.3853,0,-3.9438,-2.3402,2.2634,5.1656,0.1521,"X1: 1.0683, X2: 1.053, X3: 1.473, X4: 6.0512, X5: 5.1719, X6: 1.436"
,,5 factors + RDNSAC,0.5161,0.5121,128.1717,0,5.2117,-3.8443,-2.3402,2.2735,0.0007,"1.0666, 1.053, 1.5254, 6.4564, 5.2146, 1.8053"
,,,,,,,,,,,,
SaaS (PortfolioIPO1yComplete),Portfolio IV,8 factors,0.4133,0.4067,63.0392,0,-4.0341,-2.2343,2.1897,4.8484,0.7235,"1.0714, 1.0561, 1.5497, 6.5142, 5.2362, 2.9539, 4.4692, 3.1319"
,,5 factors,0.3958,0.3915,94.1817,0,-3.8975,-2.2343,2.2221,4.9723,0.4276,"X1:1.0587, X2:1.0523, X3:1.4076, X4:5.691, X5:5.1553"
,,5 factors + IPORM,0.3988,0.3938,79.3787,0,-3.9424,-2.2343,2.2165,4.9541,0.5472,"[1.0693, 1.0542, 1.4393, 6.2418, 5.2146, 1.4211]"
,,5 factors + NPFM,0.4109,0.406,83.4697,0,-4.0368,-2.2343,2.1941,4.8543,0.5314,"X1: 1.0687, X2: 1.0523, X3: 1.483, X4: 6.0634, X5: 5.1803, X6: 1.4397"
,,5 factors + RDNSAC,0.4053,0.4004,81.5677,0,4.9002,-3.979,-2.2343,2.2044,0.5327,"1.0665, 1.0524, 1.5328, 6.4883, 5.227, 1.8126"
,,,,,,,,,,,,
AI (fullAIaverageReturns_outlierdelete) - Using robust ols,Portfolio I,8 factors,0.5037,0.4981,96.9408,0,-3.876,-2.2732,2.2855,5.5003,0.0541,"1.0707, 1.0569, 1.5418, 6.4786, 5.2218, 2.9298, 3.1298, 4.4603"
,,5 factors,0.4076,0.4035,65.1903,0,-3.4344,-2.2732,2.5255,6.5757,0.0267,"1.0593, 1.0529, 1.4020, 5.6715, 5.1465"
,,5 factors + IPORM,0.417,0.4122,71.1562,0,-3.5293,-2.2732,2.4927,6.4895,0.02,"1.0689, 1.0549, 1.4327, 6.2094, 5.2017, 1.4151"
,,5 factors + NPFM,0.4725,0.4681,88.657,0,-3.71,-2.2732,2.3664,5.8398,0.0002,X1: 1.0666; X2: 1.053; X3: 1.5254; X4: 6.4564; X5: 5.2146; X6: 1.8053
,,5 factors + RDNSAC,0.4706,0.4662,91.0108,0,-3.8368,-2.2732,2.3568,5.8683,0.0228,"X1=1.0683, X2=1.053, X3=1.473, X4=6.0512, X5=5.1719, X6=1.436"
,,,,,,,,,,,,
SaaS (SaasTopMCdataTable) - Using robust ols,Portfolio III,8 factors,0.6018,0.5974,208.2188,0,-4.0261,-2.2001,1.6107,2.6681,0,"1.0707, 1.0569, 1.5418, 6.4786, 5.2218, 2.9298, 3.1298, 4.4603"
,,5 factors,0.5732,0.5702,203.9005,0,-4.0662,-2.2001,1.7144,2.8087,0,"1.0593, 1.0529, 1.4020, 5.6715, 5.1465"
,,5 factors + IPORM,0.5733,0.5698,199.8147,0,-4.0537,-2.2001,1.7139,2.8142,0,"1.0689, 1.0549, 1.4327, 6.2094, 5.2017, 1.4151"
,,5 factors + NPFM,0.5802,0.5767,210.4456,0,-4.0833,-2.2001,1.6739,2.7836,0,X1: 1.0666; X2: 1.053; X3: 1.5254; X4: 6.4564; X5: 5.2146; X6: 1.8053
,,5 factors + RDNSAC,0.5776,0.5741,212.8597,0,-4.1394,-2.2001,1.694,2.7856,0,"X1=1.0683, X2=1.053, X3=1.473, X4=6.0512, X5=5.1719, X6=1.436"
,,,,,,,,,,,,
SaaS (SaasTopdataTable) - Using robust ols,Portfolio II,8 factors,0.5179,0.5125,144.8912,0,-4.3712,-2.3774,2.2283,4.8925,0.0051,"X1=1.0707, X2=1.0569, X3=1.5418, X4=6.4786, X5=5.2218, X6=2.9298, X7=4.4603, X8=3.1298"
,,5 factors,0.4772,0.4736,123.3867,0,-4.1359,-2.3774,2.3297,5.2708,0.0034,"X1:1.0593, X2:1.0529, X3:1.402, X4:5.6715, X5:5.1465"
,,5 factors + IPORM,0.4795,0.4752,125.731,0,-4.1723,-2.3774,2.3282,5.2641,0.0043,"X1:1.0689, X2:1.0549, X3:1.4327, X4:6.2094, X5:5.2017, X6:1.4151"
,,5 factors + NPFM,0.5042,0.5,142.0375,0,-4.2962,-2.3774,2.2811,5.0091,0.002,"1.0666, 1.0530, 1.5254, 6.4564, 5.2146, 1.8053"
,,5 factors + RDNSAC,0.4974,0.4932,140.475,0,-4.3426,-2.3774,2.278,5.0978,0.0026,"X1:1.0683, X2:1.053, X3:1.473, X4:6.0512, X5:5.1719, X6:1.436"
